-90;-75;-60;-45;-30;-15;0;15;30;45;60;75;90
1418;1375;1311;1294;1254;1203;1116;1095;973;879;847;770;670
1410;1380;1311;1291;1255;1199;1119;1094;967;879;844;775;676
1411;1379;1311;1294;1262;1206;1115;1091;974;879;844;775;671
1414;1380;1311;1292;1262;1199;1119;1091;974;871;847;775;670
1414;1374;1318;1292;1258;1206;1123;1092;977;879;847;771;671
1418;1378;1311;1294;1254;1203;1122;1095;978;883;846;772;683
1419;1378;1315;1290;1264;1206;1123;1091;967;883;844;775;673
1411;1375;1316;1287;1250;1208;1118;1090;975;886;843;775;679
1414;1375;1300;1295;1260;1207;1119;1091;975;879;847;781;675
1415;1383;1311;1294;1263;1206;1126;1091;977;892;846;775;670
1414;1379;1311;1291;1262;1207;1123;1092;979;879;847;778;671
1415;1379;1320;1294;1263;1199;1126;1095;980;886;855;775;670
1415;1375;1324;1295;1262;1206;1132;1093;974;887;854;774;663
1418;1377;1316;1300;1262;1203;1130;1091;975;896;853;779;662
1410;1375;1314;1294;1255;1199;1127;1091;975;887;843;775;660
1415;1380;1316;1295;1263;1203;1123;1092;967;903;847;771;659
1414;1378;1310;1294;1263;1199;1129;1094;972;896;846;774;647
1410;1384;1316;1301;1262;1195;1126;1100;972;899;851;774;655
1415;1375;1316;1295;1263;1207;1123;1094;1002;900;847;768;652
1414;1377;1315;1295;1264;1196;1127;1100;972;907;847;770;654
1415;1375;1303;1300;1271;1207;1127;1092;967;906;852;775;648
1420;1375;1313;1295;1263;1204;1127;1089;972;891;854;771;646
1414;1375;1316;1298;1263;1199;1126;1095;927;897;847;771;647
1414;1379;1327;1295;1266;1198;1123;1097;974;898;849;771;646
1415;1378;1324;1300;1269;1212;1127;1094;980;908;847;775;640
1416;1380;1315;1299;1262;1203;1123;1095;975;892;847;775;640
1418;1374;1311;1295;1270;1206;1127;1093;975;902;843;775;640
1422;1375;1295;1302;1272;1199;1126;1095;983;899;854;773;637
1414;1375;1346;1300;1268;1198;1131;1095;974;902;854;771;623
1421;1380;1311;1300;1263;1206;1117;1095;982;900;855;771;629
1414;1378;1311;1295;1272;1207;1118;1094;972;887;855;772;627
1416;1379;1303;1302;1271;1199;1111;1095;975;897;858;775;627
1414;1375;1290;1302;1274;1215;1111;1095;975;899;854;775;623
1415;1380;1315;1295;1263;1212;1107;1095;967;907;855;775;623
1415;1375;1314;1300;1271;1199;1111;1092;975;900;851;774;629
1414;1375;1282;1299;1263;1203;1111;1098;967;899;839;778;631
1414;1375;1316;1295;1274;1206;1111;1091;967;902;860;774;640
1415;1383;1314;1303;1271;1199;1114;1092;971;896;847;774;627
1414;1378;1311;1304;1278;1203;1107;1091;967;898;847;774;637
1415;1382;1326;1302;1270;1207;1115;1097;972;899;855;775;630
1415;1374;1311;1303;1270;1212;1116;1089;967;900;847;771;623
1418;1382;1311;1303;1267;1202;1111;1095;971;900;847;776;623
1414;1375;1316;1303;1263;1203;1111;1091;967;902;847;775;631
1420;1379;1319;1299;1270;1199;1115;1095;975;902;855;772;631
1414;1378;1314;1302;1275;1212;1111;1093;972;896;859;775;631
1414;1388;1314;1303;1270;1207;1109;1090;975;896;833;771;643
1414;1382;1311;1303;1267;1199;1111;1092;966;900;859;769;636
1415;1377;1311;1303;1271;1207;1110;1089;972;897;855;774;640
1414;1380;1316;1302;1270;1207;1118;1091;971;899;851;780;637
1420;1378;1313;1306;1274;1211;1111;1098;967;902;854;775;639
1415;1379;1314;1306;1271;1211;1116;1089;972;898;855;774;630
1414;1383;1316;1303;1271;1206;1111;1091;967;898;851;785;631
1411;1380;1314;1303;1271;1207;1111;1091;977;887;847;771;627
1414;1382;1316;1308;1263;1215;1107;1095;975;890;847;773;638
1414;1380;1310;1303;1270;1207;1111;1094;975;896;860;774;635
1422;1379;1344;1302;1271;1215;1111;1091;967;886;860;769;639
1414;1382;1311;1299;1270;1216;1111;1091;971;887;854;771;640
1415;1383;1317;1295;1270;1214;1111;1094;967;895;854;775;640
1418;1383;1311;1302;1275;1218;1113;1094;972;887;858;780;640
1416;1383;1314;1299;1271;1207;1110;1095;974;900;855;774;642
1412;1382;1315;1302;1271;1217;1107;1089;975;894;851;774;644
1418;1388;1311;1303;1272;1207;1111;1094;967;887;855;772;640
1414;1382;1346;1304;1270;1219;1111;1090;967;876;847;774;634
1415;1383;1319;1302;1271;1223;1117;1095;967;892;847;772;642
1414;1382;1318;1303;1268;1228;1120;1091;975;892;855;766;642
1420;1383;1318;1308;1284;1219;1111;1089;971;900;860;767;631
1415;1380;1314;1302;1270;1218;1116;1089;975;887;861;772;631
1416;1388;1327;1302;1270;1218;1116;1095;970;896;855;773;631
1414;1382;1319;1301;1284;1218;1111;1093;972;887;855;775;637
1420;1383;1314;1307;1263;1220;1115;1091;976;894;860;775;636
1411;1382;1323;1304;1271;1218;1108;1089;975;894;858;771;640
1415;1382;1316;1303;1280;1228;1118;1094;974;891;851;773;631
1414;1384;1310;1303;1270;1223;1111;1094;967;887;855;768;632
1423;1383;1316;1303;1280;1222;1115;1095;977;887;854;775;623
1415;1383;1302;1304;1275;1223;1119;1089;972;885;855;774;627
1415;1382;1319;1308;1276;1224;1111;1079;967;887;855;774;630
1415;1383;1295;1302;1274;1222;1115;1091;974;890;847;774;623
1414;1383;1318;1303;1271;1223;1114;1091;971;887;862;772;631
1411;1382;1316;1295;1280;1223;1111;1092;975;890;857;775;623
1420;1383;1318;1303;1276;1231;1111;1091;975;890;852;774;631
1414;1389;1327;1308;1278;1231;1117;1091;972;875;859;771;630
1415;1383;1318;1308;1276;1223;1119;1092;973;892;854;775;630
1415;1383;1315;1302;1271;1231;1111;1093;966;891;855;770;631
1420;1383;1318;1308;1276;1230;1111;1092;967;886;854;770;631
1417;1380;1303;1299;1270;1230;1111;1095;967;895;858;774;631
1420;1383;1319;1302;1271;1230;1115;1091;967;890;854;771;623
1416;1381;1320;1303;1276;1231;1111;1091;967;876;858;774;633
1418;1383;1350;1300;1276;1238;1117;1094;970;887;851;775;623
1416;1382;1319;1295;1271;1236;1110;1095;967;890;855;775;627
1419;1383;1315;1303;1271;1231;1111;1093;967;887;860;772;619
1414;1382;1319;1303;1271;1235;1119;1090;951;886;863;771;611
1414;1387;1326;1308;1276;1241;1118;1094;970;890;851;772;610
1398;1382;1291;1303;1278;1231;1117;1089;975;887;855;771;607
1420;1384;1319;1303;1276;1238;1116;1089;974;887;860;769;608
1414;1378;1316;1305;1271;1230;1111;1093;974;887;855;775;599
1415;1382;1306;1308;1275;1235;1111;1091;972;871;857;777;599
1398;1383;1331;1302;1276;1231;1115;1091;967;883;858;775;599
1415;1388;1316;1302;1280;1244;1119;1093;967;890;855;775;605
1414;1382;1318;1306;1270;1231;1121;1088;967;879;855;774;599
1420;1386;1340;1303;1270;1231;1118;1091;967;890;854;770;599
1418;1382;1318;1327;1278;1236;1118;1091;967;892;855;774;599
1415;1382;1324;1308;1278;1238;1119;1093;983;895;853;767;599
